,ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
40,2008-05,15720.0,10200.0,19488.0,25050.0,53088.0,47490.0,358944.0,276240.0,71544.0,68850,48576.0,67170.0,62376.0,72600.0,63288.0,94020.0,24216.0,21900.0,42528.0,21900.0,42528.0,57480.0,4368.0,17070.0,7176.0,5940.0,3024.0,7500.0,408.0,390.0,2208.0,3330.0
41,2008-06,35472.0,16260.0,34800.0,30180.0,106488.0,73200.0,195312.0,218730.0,36672.0,24780,50112.0,51090.0,83016.0,66810.0,229200.0,129420.0,28560.0,21600.0,104944.0,21600.0,104944.0,60840.0,13632.0,21720.0,9120.0,4080.0,22152.0,8520.0,3072.0,360.0,25680.0,5370.0
42,2008-07,41952.0,56580.0,127520.0,42750.0,106056.0,111840.0,469512.0,333270.0,56832.0,61770,243240.0,113940.0,46128.0,70560.0,256968.0,186570.0,19560.0,28050.0,212280.0,28050.0,212280.0,102360.0,2760.0,34380.0,1632.0,3000.0,107328.0,41610.0,696.0,3420.0,65448.0,19560.0
43,2008-08,2640.0,7290.0,48240.0,27870.0,13968.0,38040.0,210216.0,171810.0,43944.0,34020,33144.0,34350.0,44976.0,36840.0,87000.0,93750.0,14520.0,15690.0,37512.0,15690.0,37512.0,48960.0,624.0,13140.0,7480.0,810.0,5232.0,8010.0,0.0,0.0,1728.0,900.0
44,2008-09,38688.0,36450.0,43992.0,66990.0,68424.0,80100.0,261264.0,382740.0,8472.0,26580,63192.0,94770.0,106944.0,101970.0,105888.0,157620.0,32760.0,23850.0,38568.0,23850.0,38568.0,81000.0,2688.0,21090.0,1680.0,2550.0,9624.0,10560.0,600.0,1080.0,1200.0,2850.0
45,2008-10,13852.0,15600.0,39528.0,48150.0,58032.0,75990.0,355092.0,384630.0,42456.0,31020,94068.0,76320.0,43488.0,63600.0,140532.0,125430.0,17520.0,19560.0,44856.0,19560.0,44856.0,60390.0,2496.0,20310.0,5952.0,8040.0,10860.0,9660.0,0.0,360.0,8544.0,5400.0
46,2008-11,5400.0,22740.0,34536.0,42840.0,51072.0,71400.0,135072.0,302520.0,12744.0,26580,112344.0,82230.0,48640.0,53340.0,166920.0,126480.0,31136.0,18690.0,100472.0,18690.0,100472.0,51330.0,3264.0,28080.0,5016.0,3960.0,25416.0,15180.0,696.0,870.0,17040.0,8790.0
47,2008-12,13440.0,18450.0,28128.0,26760.0,16944.0,33930.0,405948.0,238920.0,8880.0,10680,75600.0,33900.0,19056.0,25710.0,87780.0,83850.0,14784.0,9330.0,22596.0,9330.0,22596.0,45150.0,2760.0,28290.0,336.0,300.0,6252.0,4710.0,576.0,450.0,5760.0,1110.0
48,2009-01,15240.0,16710.0,28632.0,27120.0,59952.0,60510.0,201360.0,229260.0,24312.0,12990,83832.0,62910.0,198216.0,26370.0,180864.0,147960.0,84664.0,14100.0,57768.0,14100.0,57768.0,62040.0,32664.0,30780.0,29088.0,1410.0,20424.0,9030.0,13200.0,1080.0,20280.0,6240.0
49,2009-02,32808.0,18180.0,56544.0,42060.0,112056.0,53820.0,421664.0,221700.0,31920.0,22320,36696.0,18900.0,160704.0,89550.0,89184.0,68610.0,37056.0,7860.0,72720.0,7860.0,72720.0,51240.0,23880.0,12900.0,9552.0,5220.0,38520.0,16260.0,2976.0,3000.0,1080.0,3480.0
50,2009-03,30624.0,48270.0,67080.0,80940.0,114288.0,104190.0,369480.0,337770.0,21448.0,21990,172808.0,81150.0,67488.0,77880.0,307032.0,167160.0,98112.0,25230.0,84360.0,25230.0,84360.0,53250.0,600.0,10230.0,576.0,660.0,19368.0,12270.0,672.0,150.0,16152.0,6060.0
51,2009-04,13128.0,20970.0,42168.0,49410.0,78176.0,73690.0,393024.0,309270.0,14064.0,16710,135864.0,88770.0,90288.0,63810.0,257472.0,152370.0,16440.0,15690.0,97888.0,15690.0,97888.0,64230.0,9216.0,18780.0,2376.0,2580.0,9456.0,19710.0,336.0,630.0,4296.0,6210.0
52,2009-05,68952.0,28830.0,102312.0,88230.0,122712.0,74130.0,410544.0,330030.0,139336.0,24450,126480.0,61590.0,153768.0,70140.0,541212.0,169500.0,70952.0,30180.0,117216.0,30180.0,117216.0,61950.0,5736.0,16500.0,8664.0,6270.0,25320.0,13320.0,360.0,660.0,16152.0,6570.0
53,2009-06,22440.0,48390.0,62040.0,65820.0,70512.0,61290.0,882816.0,323340.0,44208.0,28350,100296.0,70530.0,166872.0,93450.0,225504.0,138240.0,52968.0,24660.0,71832.0,24660.0,71832.0,64470.0,13608.0,25470.0,4272.0,4020.0,28368.0,19440.0,0.0,0.0,11712.0,3840.0
54,2009-07,61296.0,48210.0,52752.0,49080.0,127672.0,115050.0,321720.0,278850.0,45016.0,34890,101736.0,55050.0,140112.0,104880.0,347856.0,177690.0,26736.0,28470.0,260280.0,28470.0,260280.0,88920.0,1680.0,48420.0,4896.0,2550.0,82464.0,37380.0,360.0,450.0,63696.0,28260.0
55,2009-08,11952.0,28530.0,30912.0,39180.0,72000.0,77490.0,193416.0,186570.0,38480.0,11310,70432.0,49590.0,91392.0,51330.0,191448.0,107220.0,63144.0,8310.0,73848.0,8310.0,73848.0,44640.0,5352.0,24930.0,6792.0,3600.0,20616.0,17940.0,0.0,0.0,13992.0,11460.0
56,2009-09,47352.0,56550.0,107904.0,80850.0,135384.0,156480.0,581536.0,497700.0,53512.0,57720,152952.0,76320.0,142152.0,72420.0,253136.0,188820.0,39288.0,28650.0,149400.0,28650.0,149400.0,61770.0,5520.0,11400.0,1200.0,240.0,15720.0,7470.0,0.0,0.0,1464.0,2400.0
57,2009-10,23400.0,43470.0,36648.0,70260.0,54312.0,85590.0,243048.0,342870.0,24024.0,20670,50136.0,47250.0,403584.0,111150.0,128904.0,120090.0,61968.0,28650.0,38688.0,28650.0,38688.0,42270.0,2640.0,18900.0,1056.0,420.0,10872.0,9600.0,0.0,0.0,6840.0,6510.0
58,2009-11,31176.0,30780.0,46992.0,51900.0,57256.0,44220.0,407904.0,246630.0,33816.0,21630,98880.0,53970.0,123216.0,100890.0,130944.0,72420.0,23472.0,20160.0,47280.0,20160.0,47280.0,32280.0,2880.0,8610.0,1608.0,1290.0,14160.0,11460.0,528.0,330.0,1752.0,2370.0
59,2009-12,95352.0,42120.0,32016.0,30450.0,162120.0,44760.0,210976.0,185280.0,9888.0,6270,78816.0,47520.0,75504.0,46170.0,186096.0,63180.0,45264.0,14430.0,87480.0,14430.0,87480.0,40230.0,3216.0,13590.0,1680.0,600.0,10752.0,3780.0,0.0,0.0,1440.0,420.0
60,2010-01,14016.0,28860.0,48456.0,35130.0,59184.0,79800.0,258680.0,170430.0,21960.0,14400,54744.0,56370.0,68880.0,49770.0,129144.0,114480.0,41952.0,5700.0,43488.0,5700.0,43488.0,52710.0,384.0,11880.0,528.0,570.0,13200.0,14700.0,816.0,510.0,1584.0,1470.0
61,2010-02,47424.0,39090.0,70296.0,49920.0,70680.0,58080.0,255744.0,231450.0,39600.0,11160,52464.0,73800.0,49656.0,33660.0,107208.0,152370.0,13280.0,19980.0,68720.0,19980.0,68720.0,38610.0,5928.0,10530.0,1488.0,1530.0,9312.0,7020.0,240.0,120.0,7392.0,2010.0
62,2010-03,7896.0,63240.0,43320.0,54750.0,88032.0,115080.0,227266.0,208680.0,35832.0,45270,49440.0,38160.0,83568.0,46800.0,237200.0,98700.0,35784.0,24720.0,123644.0,24720.0,123644.0,51930.0,2256.0,11010.0,14760.0,3150.0,46948.0,11760.0,0.0,0.0,2184.0,1080.0
63,2010-04,22224.0,49110.0,36792.0,41460.0,40752.0,69870.0,343296.0,222060.0,38688.0,19320,148416.0,43830.0,86496.0,60360.0,199680.0,83340.0,107448.0,44370.0,67128.0,44370.0,67128.0,45390.0,6768.0,10680.0,38352.0,10320.0,15408.0,13470.0,552.0,390.0,3432.0,300.0
64,2010-05,120600.0,86670.0,62136.0,82650.0,116736.0,121140.0,258432.0,356730.0,38016.0,36870,48768.0,45090.0,100896.0,71010.0,110976.0,129120.0,25776.0,35880.0,28464.0,35880.0,28464.0,41250.0,11376.0,8520.0,5424.0,4680.0,8832.0,5190.0,1008.0,240.0,1704.0,720.0
65,2010-06,8256.0,33540.0,32784.0,50070.0,64224.0,47970.0,133104.0,217770.0,34560.0,23610,52200.0,32010.0,47736.0,41010.0,176480.0,79740.0,23280.0,27120.0,110160.0,27120.0,110160.0,45930.0,3120.0,8370.0,1224.0,2820.0,13536.0,4350.0,96.0,60.0,5256.0,1440.0
66,2010-07,16368.0,31350.0,39816.0,50430.0,40512.0,47880.0,188112.0,185010.0,38560.0,22200,34296.0,43890.0,150504.0,56460.0,129456.0,104250.0,41448.0,23940.0,36192.0,23940.0,36192.0,58680.0,5208.0,10470.0,2496.0,5190.0,11592.0,9060.0,792.0,510.0,4800.0,3630.0
