aaaammdd	v25C	v3K	3KRL 	v3KPD	v3K4	v3K4-1	v3KS24	3KSN8	vP100	vP80	vPEBD	vPPCE	vPPE	vPPH	vPPIBO	vPPR	vPVC	vPVC5C	vPVCC	vPVCR	PVCBR	vTotalTon	vTotalCCarga	vTotal3K	vTotalPressao	vTotalPVC	vTotalPP	vTotalPE
01/06/2015	344,8860145	127,895787	0	21,439167	7,018752	4,72152	24,111912	0	292,010391	33,99124	0,7622	174,292656	2,392761	0	11,630844	6,70348	80,637772	242,0781504	0	0,018972	0	1374,591619	344,8860145	185,187138	322,7348944	852,8080469	188,316261	326,763831
01/07/2015	306,473074	104,366061	0	25,721538	0,10656	10,585074	18,019962	0	176,9935245	19,191774	0,613	272,79395	0,471276	0	9,808878	3,76178	94,51408	179,989644	0	0,004366	0	1223,414542	306,473074	158,799195	274,50809	739,780359	283,074104	196,7982985
01/08/2015	180,870753	53,376426	0	13,904133	0	6,45165	14,830668	0	87,2582275	15,1714	0,463	140,333556	0,300948	0	8,329662	0,106	58,926402	87,691338	0	0	0	668,0141635	180,870753	88,562877	146,61774	416,05137	148,964166	102,8926275
01/09/2015	332,237431	109,781728	0	15,008062	2,514816	11,803572	24,459036	0	218,768952	20,289144	0,242	202,79266	0,431625	0	14,44671	2,3999	115,197006	114,153738	0,0001248	0	0	1184,526505	332,237431	163,567214	229,3508688	725,1555138	217,670995	239,300096
01/10/2015	322,920888	114,405624	0	13,8412195	5,07936	2,36496	30,369732	0	143,2562188	20,859412	0,187	236,975282	1,055745	0	12,125454	2,365228	99,05754	196,949142	0	0	0	1201,812805	322,920888	166,0608955	296,006682	784,9884655	250,156481	164,3026308
01/11/2015	314,20089	138,830206	0	22,07484	4,33344	2,864484	12,709578	0	121,31842	23,82608	0,374	216,800328	4,467576	0	12,317352	0,2428	65,027717	203,896278	0	6,00696	0	1149,290949	314,20089	180,812548	274,930955	769,944393	233,585256	145,5185
01/12/2015	214,97757	105,179814	0	22,980259	0	1,57104	12,261384	0	48,930899	13,42484	2,3895	164,352174	0,270904	0	10,861578	2,978512	69,688644	115,900506	0	0,22248	0	785,990104	214,97757	141,992497	185,81163	542,781697	175,484656	64,745239
01/01/2016	297,092709	125,360335	0	20,19699	0	4,32036	19,64271	0	78,733864	10,3944	0,825	176,633016	2,770263	0	10,304328	2,510244	74,140244	178,508274	0	0	0	1001,432737	297,092709	169,520395	252,648518	719,261622	189,707607	89,953264
01/02/2016	325,592301	151,064711	0	19,457849	7,558656	6,797268	19,644864	0	111,47664	16,47	1,365	209,665044	1,676625	19,305	14,648394	3,64554	80,910119	169,869678	0,0000204	0	0	1159,147709	325,592301	204,523348	250,7798174	780,8954664	225,990063	129,31164
01/03/2016	302,118032	177,330459	0	25,222271	1,619712	13,58064	19,56207	0	290,545024	6,6138	0,2585	231,260508	2,271024	10,5675	12,219972	18,92392	101,009833	217,384926	0	5,196	0	1435,684191	302,118032	237,315152	323,590759	863,023943	245,751504	297,417324
01/04/2016	320,013303	123,322203	0	13,7969125	0	10,15521	29,012658	0	162,3988473	9,9753	0,275	220,399746	1,928358	0,00089	16,248672	4,605928	114,19909	251,953336	0	2,0876161	0	1280,37307	320,013303	176,2869835	368,2400421	864,5403286	238,576776	172,6491473
01/05/2016	432,146345	169,056486	0	24,454219	6,613824	5,79156	22,19598	0	422,404126	16,11555	0,404	183,073272	2,30049	0,85995	15,220026	2,79698	86,459548	321,6243936	0	4,059215	0	1715,575965	432,146345	228,112069	412,1431566	1072,401571	200,593788	438,923676
01/06/2016	313,869213	153,821407	0	28,7486575	0	14,725074	21,112662	0	309,273314	21,2312	0,9246	210,308652	1,591014	0,445	14,981364	11,64096	100,735466	282,7907152	0	0,0111361	0	1486,210435	313,869213	218,4078005	383,5373173	915,8143308	226,88103	331,429114
01/07/2016	389,258596	154,889844	0	25,0520125	11,948928	21,953088	26,95998	0	262,16807	8,1156	0	243,855168	0,675036	0	14,123622	6,170888	96,68827	167,546514	0,000204	0,6598206	0	1430,065641	389,258596	240,8038525	264,8948086	894,9572571	258,653826	270,28367
01/08/2016	243,998615	68,645307	0	8,795472	0	0,69363	16,07517	0	138,3033	7,3663	0,154	173,675664	2,798292	0	8,23752	5,85954	56,522922	172,469556	0	0	0	903,595288	243,998615	94,209579	228,992478	567,200672	184,711476	145,8236
01/09/2016	436,94277	132,304734	0	21,327385	2,614272	6,859326	18,370104	0	145,72105	13,3751	0,42	266,755098	2,02686	14,04	17,431914	6,373644	90,01125	114,480228	0	0	0	1289,053735	436,94277	181,475821	204,491478	822,910069	286,213872	159,51615
