ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2012-01,80928,56580,120312,50670,62232,30030,392208,248280,19032,8340,56448,38700,60480,35400,108792,54840,12480,14700,45696,14700,45696,27630,1944,15150,240,300,6840,3937,120,1530,1752,3420
2012-02,30360,66240,26592,62820,65832,61200,368808,341280,5832,12930,31248,40080,12912,27480,46824,94980,12888,14880,13848,14880,13848,37260,3456,10350,240,1830,5528,11910,0,0,1872,2130
2012-03,75192,42180,70608,85500,58512,71700,468632,259890,11496,13050,41040,35190,20808,22110,79032,59820,7896,6240,41424,6240,41424,15600,2088,6330,576,720,22992,7800,0,0,2640,720
2012-04,24000,57090,37408,27810,14544,30240,166104,171090,4320,6720,8272,15980,6840,10440,25284,29790,3984,4680,8184,4680,8184,12600,0,2790,0,0,4608,3060,0,0,888,1110
2012-05,9600,23280,21048,42120,44808,31800,286032,175740,7392,8370,24000,20280,11760,8730,31656,35580,2112,2940,32472,2940,32472,10380,480,6840,0,0,26568,6840,0,0,24,30
2012-06,17448,25890,52152,30780,15936,28350,314112,194100,13848,7230,20856,26610,11160,12930,16872,16050,8952,11190,19528,11190,19528,7200,4056,3840,3096,3870,29568,6060,0,0,13488,510
2012-07,38712,47070,37392,50880,33144,37950,395832,108330,7536,8220,33744,17640,27672,11940,102744,32970,5112,3480,38232,3480,38232,10050,72,9330,0,0,17856,3810,0,0,3864,2280
2012-08,30384,33240,21336,35430,25920,24060,146480,117360,7800,4710,27624,21720,30912,12750,25080,36060,7080,4050,8592,4050,8592,8520,288,6480,168,210,3168,0,0,0,456,480
2012-09,41136,54360,49584,40020,71712,66120,298032,210540,10824,6870,31392,29190,16536,21510,30192,17280,4080,3930,31704,3930,31704,8040,192,4200,2832,1530,17616,720,0,0,432,870
2012-10,24216,28260,18168,17700,21168,19260,168048,123300,10800,7290,12816,17040,11856,14280,16164,21450,12120,7110,4632,7110,4632,10410,1416,5910,912,930,1824,3510,0,0,600,1050
2012-11,72792,34440,50544,34230,64488,15930,311856,160590,4608,3690,34504,9330,18792,19560,39960,34095,5760,2310,4464,2310,4464,7620,4680,1980,240,0,4200,1500,0,0,144,0
2012-12,15768,35820,24240,22680,9120,11490,96096,123180,984,2670,17712,14370,5832,8550,28296,25755,1728,2220,5208,2220,5208,5520,168,3120,0,0,4392,1140,0,0,2112,330
2013-01,41712,21240,72504,81300,13752,27330,139320,195840,8064,9840,15168,27660,24456,28170,26544,37290,3048,6690,15096,6690,15096,15570,384,1110,0,0,3456,3240,24,0,840,630
2013-02,21336,53400,55200,43560,12480,30060,355392,191940,2592,3360,112872,16710,1800,3330,141888,41280,5496,4650,54864,4650,54864,10800,3984,2220,0,0,5400,3480,0,0,960,0
2013-03,19728,30420,52632,67170,22152,44940,191520,170460,7632,7500,51168,26790,9048,7260,45128,34680,2688,5400,13272,5400,13272,10350,96,6000,0,0,4248,3750,0,0,1224,870
2013-04,55992,41700,43704,36000,37440,26460,225024,141570,9240,9270,20736,23700,14256,16650,45012,35775,3552,2940,13656,2940,13656,4170,240,2310,1032,150,10464,9780,432,0,384,600
2013-05,10416,35430,86912,42510,23160,40410,284584,183270,8160,10320,42600,50790,13320,15450,44700,63840,4032,4710,22584,4710,22584,13140,768,5550,1584,2160,9072,7110,0,540,816,1080
2013-06,42096,46860,20904,28650,85032,47700,62160,142140,13512,11970,11376,22140,17952,16050,19416,37125,3024,4350,13104,4350,13104,16350,4992,3210,408,1170,5328,6150,0,0,744,930
2013-07,32808,47250,33504,32850,54936,71370,260944,126390,11664,15990,37776,37680,19632,26610,34296,43920,4392,6450,11904,6450,11904,19200,432,6180,504,870,27768,11370,0,0,5328,3840
2013-08,55584,51960,13104,25260,60000,34920,92256,125130,2688,6780,5808,8850,7200,4800,16008,17520,2160,1800,8568,1800,8568,12270,240,4920,168,210,1920,2490,0,0,336,2010
2013-09,59568,80250,39192,44850,34752,61140,111816,169320,10152,9030,23208,30960,26304,31050,39240,39750,6240,6720,28896,6720,28896,27240,528,7920,600,750,4608,5040,24,30,2136,660
2013-10,56208,67680,60888,59850,21960,48480,124032,181800,10272,10590,25176,21390,19872,25080,27775,33645,4272,5490,25948,5490,25948,31230,912,13800,936,1170,12451,9180,0,0,3312,2610
2013-11,69000,54840,39648,42180,35520,55320,167904,131447,4104,3150,29532,40215,28656,31770,32664,36677,7584,8040,21336,8040,21336,23747,288,11267,624,780,4320,11345,24,30,960,390
2013-12,10296,37410,22920,38850,42720,41910,87816,112230,5400,8190,8184,17520,9840,15810,29880,31320,2952,3720,19920,3720,19920,29370,72,5850,0,0,2256,2250,0,0,1632,2310
